dtReference,idVendedor,qtde_boleto,qtde_credit_card,qtde_debit_card,qtde_voucher,valor_boleto,valor_credit_card,valor_debit_card,valor_voucher,proporcao_qtde_boleto,proporcao_qtde_credit_card,proporcao_qtde_debit_card,proporcao_qtde_voucher,proporcao_valor_boleto,proporcao_valor_credit_card,proporcao_valor_debit_card,proporcao_valor_voucher,avgQtdParcelas,MaxQtdParcelas,MinQtdParcelas
2018-01-01,128639473a139ac0f3e5f5ade55873a5,63,139,3,5,2517.4600000000023,5582.230000000003,102.75999999999999,209.18,0,0,0,0,0.29928325425630947,0.6636323756513303,0.012216419409793336,0.024867950682566857,1.3093525179856116,6.0,1.0
2018-01-01,128f9bfbe4c7d5185033914b1de3d39a,1,7,0,1,102.84,990.31,0.0,22.52,0,0,0,0,0.09217779450912907,0.8876370252852547,0.0,0.020185180205616358,4.571428571428571,10.0,1.0
2018-01-01,12a8eb0f8d1cd3270695bf2a99f55966,0,2,0,0,0.0,436.66999999999996,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,4.5,8.0,1.0
2018-01-01,12b9676b00f60f3b700e83af21824c0e,12,54,0,1,2503.8700000000003,11976.189999999999,0.0,50.0,0,0,0,0,0.17232344532644742,0.8242354126548685,0.0,0.0034411420186840247,5.0,10.0,1.0
2018-01-01,12c2ed9cded6138cf0c75f525f565fc7,1,2,0,0,45.09,207.64,0.0,0.0,0,0,0,0,0.1784117437581609,0.8215882562418391,0.0,0.0,1.5,2.0,1.0
2018-01-01,13074f016982ff2bd6c58ced8682f000,1,6,0,0,335.31,1240.8,0.0,0.0,0,0,0,0,0.21274530331004818,0.7872546966899518,0.0,0.0,2.2857142857142856,6.0,1.0
2018-01-01,1336efc61c316ddf92c899eb817f7cae,5,20,0,0,566.93,1806.38,0.0,0.0,0,0,0,0,0.23887734851325784,0.7611226514867422,0.0,0.0,3.5,10.0,1.0
2018-01-01,134a288e7de827ec5ec62e3ec9c3a295,3,3,0,0,410.5,222.27,0.0,0.0,0,0,0,0,0.6487349273827774,0.35126507261722273,0.0,0.0,1.6666666666666667,2.0,1.0
2018-01-01,1354d51653f645349064725ed204e85e,1,5,0,0,418.24,473.84000000000003,0.0,0.0,0,0,0,0,0.46883687561653664,0.5311631243834634,0.0,0.0,1.8,5.0,1.0
2018-01-01,139157dd4daa45c25b0807ffff348363,0,1,0,0,0.0,37.68,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2018-01-01,13d058e4eeac2ce8217660b2f8a05812,3,7,1,0,658.4,1651.0500000000002,290.15,0.0,0,0,0,0,0.25326973380520074,0.6351169410678565,0.11161332512694258,0.0,4.571428571428571,10.0,1.0
2018-01-01,13f57c12a00ed4610db646b913a7f5c6,0,3,0,1,0.0,321.43,0.0,177.87,0,0,0,0,0.0,0.6437612657720809,0.0,0.3562387342279191,1.3333333333333333,2.0,1.0
2018-01-01,13fa2a6c6b9d0f43cb588d7c82117a12,3,4,0,0,1806.0500000000002,1798.3500000000001,0.0,0.0,0,0,0,0,0.501068138941294,0.49893186105870596,0.0,0.0,5.25,8.0,2.0
2018-01-01,1430239a858e7682bbc43b20758af153,0,8,0,0,0.0,442.2,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,1.625,3.0,1.0
2018-01-01,1464afc72f696af775557a821c2e253f,3,11,0,1,174.0,516.8700000000001,0.0,20.0,0,0,0,0,0.2447704924951116,0.7270949681376342,0.0,0.028134539367254206,2.3636363636363638,7.0,1.0
2018-01-01,14d7985702e72162bbf13b6beb74ab2b,4,8,0,1,346.39000000000004,1359.31,0.0,94.31,0,0,0,0,0.19243781978989008,0.7551680268442953,0.0,0.052394153365814634,3.125,9.0,1.0
2018-01-01,14ee35374a7876217954b5fa08e50463,1,3,0,0,137.89,481.30999999999995,0.0,0.0,0,0,0,0,0.2226905684754522,0.7773094315245478,0.0,0.0,6.333333333333333,10.0,1.0
2018-01-01,152ee17e4c8aaf53dac99f3462e4999b,3,3,0,0,225.79,179.14000000000001,0.0,0.0,0,0,0,0,0.5576025485886449,0.44239745141135506,0.0,0.0,2.3333333333333335,3.0,2.0
